field_name,response_det,full_image_url
siding_condition_image,vacam/1/222/623/20220509184721_1652140012581463676937910805451.jpg,https://rooms.ailed.ai/image.php?path=vacam/1/222/623/20220509184721_1652140012581463676937910805451.jpg
windows_condition_image,vacam/1/222/623/20220509184904_1652140097448830556791037577383.jpg,https://rooms.ailed.ai/image.php?path=vacam/1/222/623/20220509184904_1652140097448830556791037577383.jpg
foundation_condition_image,vacam/1/222/623/20220509184945_16521401678351137592908735602630.jpg,https://rooms.ailed.ai/image.php?path=vacam/1/222/623/20220509184945_16521401678351137592908735602630.jpg
siding_condition_image,vacam/1/223/227/20220510092555_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/227/20220510092555_imagecam.jpeg
siding_condition_image,vacam/1/223/227/20220510092555_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/227/20220510092555_imagecam.jpeg
siding_condition_image,vacam/1/223/227/20220510092555_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/227/20220510092555_imagecam.jpeg
windows_condition_image,vacam/1/223/227/20220510092626_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/227/20220510092626_imagecam.jpeg
foundation_condition_image,vacam/1/223/227/20220510092718_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/227/20220510092718_imagecam.jpeg
garage_stalls_image,vacam/1/223/220/20220510125323_16522051863843237364823750748155.jpg,https://rooms.ailed.ai/image.php?path=vacam/1/223/220/20220510125323_16522051863843237364823750748155.jpg
siding_condition_image,vacam/1/223/220/20220510125453_16522052855057387592401044119565.jpg,https://rooms.ailed.ai/image.php?path=vacam/1/223/220/20220510125453_16522052855057387592401044119565.jpg
siding_condition_image,vacam/1/223/220/20220510125453_16522052855057387592401044119565.jpg,https://rooms.ailed.ai/image.php?path=vacam/1/223/220/20220510125453_16522052855057387592401044119565.jpg
windows_condition_image,vacam/1/223/220/20220510125515_16522053081804037589328188651097.jpg,https://rooms.ailed.ai/image.php?path=vacam/1/223/220/20220510125515_16522053081804037589328188651097.jpg
interior_additional_bedroom_photos,vacam/1/223/319/20220510140841_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/319/20220510140841_imagecam.jpeg
interior_additional_bedroom_photos,vacam/1/223/319/20220510140841_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/319/20220510140841_imagecam.jpeg
interior_additional_bedroom_photos,vacam/1/223/319/20220510140841_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/319/20220510140841_imagecam.jpeg
interior_additional_bathroom_photos,vacam/1/223/319/20220510141204_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/319/20220510141204_imagecam.jpeg
interior_additional_bathroom_photos,vacam/1/223/319/20220510141204_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/319/20220510141204_imagecam.jpeg
interior_additional_bathroom_photos,vacam/1/223/319/20220510141204_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/319/20220510141204_imagecam.jpeg
garage_stalls_image,vacam/1/223/045/20220510174902_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/045/20220510174902_imagecam.jpeg
siding_condition_image,vacam/1/223/045/20220510175116_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/045/20220510175116_imagecam.jpeg
windows_condition_image,vacam/1/223/045/20220510175216_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/045/20220510175216_imagecam.jpeg
foundation_condition_image,vacam/1/223/045/20220510175300_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/045/20220510175300_imagecam.jpeg
garage_stalls_image,vacam/1/223/263/20220511090359_imagecam.jpeg,https://rooms.ailed.ai/image.php?path=vacam/1/223/263/20220511090359_imagecam.jpeg
